Year,Province,Crop,Yield
2018,Newfoundland and Labrador,Barley,
2019,Newfoundland and Labrador,Barley,0
2020,Newfoundland and Labrador,Barley,
2021,Newfoundland and Labrador,Barley,
2022,Newfoundland and Labrador,Barley,
2018,Newfoundland and Labrador,Canola (rapeseed),
2019,Newfoundland and Labrador,Canola (rapeseed),0
2020,Newfoundland and Labrador,Canola (rapeseed),
2021,Newfoundland and Labrador,Canola (rapeseed),
2022,Newfoundland and Labrador,Canola (rapeseed),
2018,Newfoundland and Labrador,Corn for grain,
2019,Newfoundland and Labrador,Corn for grain,
2020,Newfoundland and Labrador,Corn for grain,
2021,Newfoundland and Labrador,Corn for grain,
2022,Newfoundland and Labrador,Corn for grain,
2018,Newfoundland and Labrador,Corn for silage,35093
2019,Newfoundland and Labrador,Corn for silage,
2020,Newfoundland and Labrador,Corn for silage,0
2021,Newfoundland and Labrador,Corn for silage,
2022,Newfoundland and Labrador,Corn for silage,38948
2018,Newfoundland and Labrador,"Peas, dry",
2019,Newfoundland and Labrador,"Peas, dry",
2020,Newfoundland and Labrador,"Peas, dry",
2021,Newfoundland and Labrador,"Peas, dry",
2022,Newfoundland and Labrador,"Peas, dry",
2018,Newfoundland and Labrador,"Rye, all",
2019,Newfoundland and Labrador,"Rye, all",
2020,Newfoundland and Labrador,"Rye, all",
2021,Newfoundland and Labrador,"Rye, all",
2022,Newfoundland and Labrador,"Rye, all",
2018,Newfoundland and Labrador,Soybeans,
2019,Newfoundland and Labrador,Soybeans,
2020,Newfoundland and Labrador,Soybeans,
2021,Newfoundland and Labrador,Soybeans,
2022,Newfoundland and Labrador,Soybeans,
2018,Newfoundland and Labrador,Sugar beets,
2019,Newfoundland and Labrador,Sugar beets,
2020,Newfoundland and Labrador,Sugar beets,
2021,Newfoundland and Labrador,Sugar beets,
2022,Newfoundland and Labrador,Sugar beets,
2018,Newfoundland and Labrador,Triticale,
2019,Newfoundland and Labrador,Triticale,
2020,Newfoundland and Labrador,Triticale,
2021,Newfoundland and Labrador,Triticale,
2022,Newfoundland and Labrador,Triticale,
2018,Newfoundland and Labrador,"Wheat, all",0
2019,Newfoundland and Labrador,"Wheat, all",0
2020,Newfoundland and Labrador,"Wheat, all",
2021,Newfoundland and Labrador,"Wheat, all",
2022,Newfoundland and Labrador,"Wheat, all",
2018,Newfoundland and Labrador,"Wheat, durum",
2019,Newfoundland and Labrador,"Wheat, durum",
2020,Newfoundland and Labrador,"Wheat, durum",
2021,Newfoundland and Labrador,"Wheat, durum",
2022,Newfoundland and Labrador,"Wheat, durum",
2018,Newfoundland and Labrador,"Wheat, all excluding durum wheat",0
2019,Newfoundland and Labrador,"Wheat, all excluding durum wheat",
2020,Newfoundland and Labrador,"Wheat, all excluding durum wheat",
2021,Newfoundland and Labrador,"Wheat, all excluding durum wheat",
2022,Newfoundland and Labrador,"Wheat, all excluding durum wheat",
2012,Prince Edward Island,Barley,3300
2013,Prince Edward Island,Barley,3400
2014,Prince Edward Island,Barley,3100
2015,Prince Edward Island,Barley,3400
2016,Prince Edward Island,Barley,3500
2017,Prince Edward Island,Barley,3600
2018,Prince Edward Island,Barley,3522
2019,Prince Edward Island,Barley,3654
2020,Prince Edward Island,Barley,3380
2021,Prince Edward Island,Barley,3607
2022,Prince Edward Island,Barley,3753
2018,Prince Edward Island,Canola (rapeseed),
2019,Prince Edward Island,Canola (rapeseed),2279
2020,Prince Edward Island,Canola (rapeseed),
2021,Prince Edward Island,Canola (rapeseed),
2022,Prince Edward Island,Canola (rapeseed),
2012,Prince Edward Island,Corn for grain,7700
2013,Prince Edward Island,Corn for grain,8600
2014,Prince Edward Island,Corn for grain,
2015,Prince Edward Island,Corn for grain,
2016,Prince Edward Island,Corn for grain,7900
2017,Prince Edward Island,Corn for grain,8200
2018,Prince Edward Island,Corn for grain,8737
2019,Prince Edward Island,Corn for grain,8241
2020,Prince Edward Island,Corn for grain,8011
2021,Prince Edward Island,Corn for grain,8858
2022,Prince Edward Island,Corn for grain,
2012,Prince Edward Island,Corn for silage,37200
2013,Prince Edward Island,Corn for silage,43100
2014,Prince Edward Island,Corn for silage,42790
2015,Prince Edward Island,Corn for silage,31750
2016,Prince Edward Island,Corn for silage,35440
2017,Prince Edward Island,Corn for silage,33100
2018,Prince Edward Island,Corn for silage,36250
2019,Prince Edward Island,Corn for silage,31043
2020,Prince Edward Island,Corn for silage,46583
2021,Prince Edward Island,Corn for silage,35172
2022,Prince Edward Island,Corn for silage,
2012,Prince Edward Island,"Peas, dry",
2013,Prince Edward Island,"Peas, dry",
2014,Prince Edward Island,"Peas, dry",
2015,Prince Edward Island,"Peas, dry",
2016,Prince Edward Island,"Peas, dry",
2017,Prince Edward Island,"Peas, dry",
2018,Prince Edward Island,"Peas, dry",3444
2019,Prince Edward Island,"Peas, dry",2867
2020,Prince Edward Island,"Peas, dry",3038
2021,Prince Edward Island,"Peas, dry",3343
2022,Prince Edward Island,"Peas, dry",
2012,Prince Edward Island,"Rye, all",
2013,Prince Edward Island,"Rye, all",
2014,Prince Edward Island,"Rye, all",
2015,Prince Edward Island,"Rye, all",
2016,Prince Edward Island,"Rye, all",
2017,Prince Edward Island,"Rye, all",
2018,Prince Edward Island,"Rye, all",2400
2019,Prince Edward Island,"Rye, all",
2020,Prince Edward Island,"Rye, all",3833
2021,Prince Edward Island,"Rye, all",
2022,Prince Edward Island,"Rye, all",3886
2012,Prince Edward Island,Soybeans,2500
2013,Prince Edward Island,Soybeans,2500
2014,Prince Edward Island,Soybeans,2300
2015,Prince Edward Island,Soybeans,2300
2016,Prince Edward Island,Soybeans,2300
2017,Prince Edward Island,Soybeans,2400
2018,Prince Edward Island,Soybeans,2755
2019,Prince Edward Island,Soybeans,2294
2020,Prince Edward Island,Soybeans,2549
2021,Prince Edward Island,Soybeans,3067
2022,Prince Edward Island,Soybeans,2921
2018,Prince Edward Island,Sugar beets,
2019,Prince Edward Island,Sugar beets,
2020,Prince Edward Island,Sugar beets,
2021,Prince Edward Island,Sugar beets,
2022,Prince Edward Island,Sugar beets,
2018,Prince Edward Island,Triticale,
2019,Prince Edward Island,Triticale,
2020,Prince Edward Island,Triticale,
2021,Prince Edward Island,Triticale,
2022,Prince Edward Island,Triticale,
2012,Prince Edward Island,"Wheat, all",3500
2013,Prince Edward Island,"Wheat, all",3300
2014,Prince Edward Island,"Wheat, all",3200
2015,Prince Edward Island,"Wheat, all",3500
2016,Prince Edward Island,"Wheat, all",3500
2017,Prince Edward Island,"Wheat, all",3800
2018,Prince Edward Island,"Wheat, all",3730
2019,Prince Edward Island,"Wheat, all",3873
2020,Prince Edward Island,"Wheat, all",3494
2021,Prince Edward Island,"Wheat, all",4085
2022,Prince Edward Island,"Wheat, all",4683
2018,Prince Edward Island,"Wheat, durum",
2019,Prince Edward Island,"Wheat, durum",
2020,Prince Edward Island,"Wheat, durum",
2021,Prince Edward Island,"Wheat, durum",
2022,Prince Edward Island,"Wheat, durum",
2012,Prince Edward Island,"Wheat, all excluding durum wheat",3500
2013,Prince Edward Island,"Wheat, all excluding durum wheat",3300
2014,Prince Edward Island,"Wheat, all excluding durum wheat",3200
2015,Prince Edward Island,"Wheat, all excluding durum wheat",3500
2016,Prince Edward Island,"Wheat, all excluding durum wheat",3500
2017,Prince Edward Island,"Wheat, all excluding durum wheat",3800
2018,Prince Edward Island,"Wheat, all excluding durum wheat",3756
2019,Prince Edward Island,"Wheat, all excluding durum wheat",3869
2020,Prince Edward Island,"Wheat, all excluding durum wheat",3479
2021,Prince Edward Island,"Wheat, all excluding durum wheat",4082
2022,Prince Edward Island,"Wheat, all excluding durum wheat",4699
2012,Nova Scotia,Barley,3500
2013,Nova Scotia,Barley,2600
2014,Nova Scotia,Barley,3300
2015,Nova Scotia,Barley,3400
2016,Nova Scotia,Barley,3600
2017,Nova Scotia,Barley,3700
2018,Nova Scotia,Barley,2973
2019,Nova Scotia,Barley,2819
2020,Nova Scotia,Barley,2770
2021,Nova Scotia,Barley,3444
2022,Nova Scotia,Barley,3106
2018,Nova Scotia,Canola (rapeseed),
2019,Nova Scotia,Canola (rapeseed),
2020,Nova Scotia,Canola (rapeseed),
2021,Nova Scotia,Canola (rapeseed),
2022,Nova Scotia,Canola (rapeseed),
2012,Nova Scotia,Corn for grain,7200
2013,Nova Scotia,Corn for grain,8000
2014,Nova Scotia,Corn for grain,7900
2015,Nova Scotia,Corn for grain,7900
2016,Nova Scotia,Corn for grain,7700
2017,Nova Scotia,Corn for grain,8400
2018,Nova Scotia,Corn for grain,7982
2019,Nova Scotia,Corn for grain,7190
2020,Nova Scotia,Corn for grain,7151
2021,Nova Scotia,Corn for grain,8643
2022,Nova Scotia,Corn for grain,7300
2012,Nova Scotia,Corn for silage,33480
2013,Nova Scotia,Corn for silage,34030
2014,Nova Scotia,Corn for silage,35860
2015,Nova Scotia,Corn for silage,37060
2016,Nova Scotia,Corn for silage,39910
2017,Nova Scotia,Corn for silage,40310
2018,Nova Scotia,Corn for silage,36062
2019,Nova Scotia,Corn for silage,29468
2020,Nova Scotia,Corn for silage,37145
2021,Nova Scotia,Corn for silage,39688
2022,Nova Scotia,Corn for silage,28352
2012,Nova Scotia,"Peas, dry",
2013,Nova Scotia,"Peas, dry",
2014,Nova Scotia,"Peas, dry",
2015,Nova Scotia,"Peas, dry",
2016,Nova Scotia,"Peas, dry",
2017,Nova Scotia,"Peas, dry",
2018,Nova Scotia,"Peas, dry",
2019,Nova Scotia,"Peas, dry",
2020,Nova Scotia,"Peas, dry",
2021,Nova Scotia,"Peas, dry",
2022,Nova Scotia,"Peas, dry",
2012,Nova Scotia,"Rye, all",
2013,Nova Scotia,"Rye, all",
2014,Nova Scotia,"Rye, all",
2015,Nova Scotia,"Rye, all",
2016,Nova Scotia,"Rye, all",
2017,Nova Scotia,"Rye, all",
2018,Nova Scotia,"Rye, all",3500
2019,Nova Scotia,"Rye, all",3857
2020,Nova Scotia,"Rye, all",3892
2021,Nova Scotia,"Rye, all",2676
2022,Nova Scotia,"Rye, all",3339
2012,Nova Scotia,Soybeans,2800
2013,Nova Scotia,Soybeans,3000
2014,Nova Scotia,Soybeans,3000
2015,Nova Scotia,Soybeans,2800
2016,Nova Scotia,Soybeans,2800
2017,Nova Scotia,Soybeans,3000
2018,Nova Scotia,Soybeans,3416
2019,Nova Scotia,Soybeans,2743
2020,Nova Scotia,Soybeans,2831
2021,Nova Scotia,Soybeans,3603
2022,Nova Scotia,Soybeans,3111
2018,Nova Scotia,Sugar beets,
2019,Nova Scotia,Sugar beets,
2020,Nova Scotia,Sugar beets,
2021,Nova Scotia,Sugar beets,
2022,Nova Scotia,Sugar beets,
2018,Nova Scotia,Triticale,
2019,Nova Scotia,Triticale,
2020,Nova Scotia,Triticale,
2021,Nova Scotia,Triticale,
2022,Nova Scotia,Triticale,
2012,Nova Scotia,"Wheat, all",4200
2013,Nova Scotia,"Wheat, all",4000
2014,Nova Scotia,"Wheat, all",4200
2015,Nova Scotia,"Wheat, all",5100
2016,Nova Scotia,"Wheat, all",4900
2017,Nova Scotia,"Wheat, all",5100
2018,Nova Scotia,"Wheat, all",4800
2019,Nova Scotia,"Wheat, all",4056
2020,Nova Scotia,"Wheat, all",3688
2021,Nova Scotia,"Wheat, all",4480
2022,Nova Scotia,"Wheat, all",4825
2018,Nova Scotia,"Wheat, durum",
2019,Nova Scotia,"Wheat, durum",
2020,Nova Scotia,"Wheat, durum",
2021,Nova Scotia,"Wheat, durum",
2022,Nova Scotia,"Wheat, durum",
2012,Nova Scotia,"Wheat, all excluding durum wheat",4200
2013,Nova Scotia,"Wheat, all excluding durum wheat",4000
2014,Nova Scotia,"Wheat, all excluding durum wheat",4200
2015,Nova Scotia,"Wheat, all excluding durum wheat",5100
2016,Nova Scotia,"Wheat, all excluding durum wheat",4900
2017,Nova Scotia,"Wheat, all excluding durum wheat",5100
2018,Nova Scotia,"Wheat, all excluding durum wheat",4651
2019,Nova Scotia,"Wheat, all excluding durum wheat",4176
2020,Nova Scotia,"Wheat, all excluding durum wheat",3647
2021,Nova Scotia,"Wheat, all excluding durum wheat",4513
2022,Nova Scotia,"Wheat, all excluding durum wheat",5064
2012,New Brunswick,Barley,3100
2013,New Brunswick,Barley,2900
2014,New Brunswick,Barley,2900
2015,New Brunswick,Barley,3600
2016,New Brunswick,Barley,3500
2017,New Brunswick,Barley,3700
2018,New Brunswick,Barley,2856
2019,New Brunswick,Barley,3659
2020,New Brunswick,Barley,2340
2021,New Brunswick,Barley,3337
2022,New Brunswick,Barley,3546
2012,New Brunswick,Canola (rapeseed),2200
2013,New Brunswick,Canola (rapeseed),2000
2014,New Brunswick,Canola (rapeseed),
2015,New Brunswick,Canola (rapeseed),
2016,New Brunswick,Canola (rapeseed),
2017,New Brunswick,Canola (rapeseed),
2018,New Brunswick,Canola (rapeseed),1933
2019,New Brunswick,Canola (rapeseed),2093
2020,New Brunswick,Canola (rapeseed),2358
2021,New Brunswick,Canola (rapeseed),
2022,New Brunswick,Canola (rapeseed),2513
2012,New Brunswick,Corn for grain,6500
2013,New Brunswick,Corn for grain,7000
2014,New Brunswick,Corn for grain,6800
2015,New Brunswick,Corn for grain,7600
2016,New Brunswick,Corn for grain,7900
2017,New Brunswick,Corn for grain,8400
2018,New Brunswick,Corn for grain,7606
2019,New Brunswick,Corn for grain,7049
2020,New Brunswick,Corn for grain,6487
2021,New Brunswick,Corn for grain,8622
2022,New Brunswick,Corn for grain,8926
2012,New Brunswick,Corn for silage,29630
2013,New Brunswick,Corn for silage,30060
2014,New Brunswick,Corn for silage,30830
2015,New Brunswick,Corn for silage,32200
2016,New Brunswick,Corn for silage,34880
2017,New Brunswick,Corn for silage,34610
2018,New Brunswick,Corn for silage,36044
2019,New Brunswick,Corn for silage,32968
2020,New Brunswick,Corn for silage,23874
2021,New Brunswick,Corn for silage,27323
2022,New Brunswick,Corn for silage,36491
2012,New Brunswick,"Peas, dry",
2013,New Brunswick,"Peas, dry",
2014,New Brunswick,"Peas, dry",
2015,New Brunswick,"Peas, dry",
2016,New Brunswick,"Peas, dry",
2017,New Brunswick,"Peas, dry",
2018,New Brunswick,"Peas, dry",750
2019,New Brunswick,"Peas, dry",1500
2020,New Brunswick,"Peas, dry",1875
2021,New Brunswick,"Peas, dry",
2022,New Brunswick,"Peas, dry",
2012,New Brunswick,"Rye, all",
2013,New Brunswick,"Rye, all",
2014,New Brunswick,"Rye, all",
2015,New Brunswick,"Rye, all",
2016,New Brunswick,"Rye, all",
2017,New Brunswick,"Rye, all",
2018,New Brunswick,"Rye, all",
2019,New Brunswick,"Rye, all",
2020,New Brunswick,"Rye, all",
2021,New Brunswick,"Rye, all",
2022,New Brunswick,"Rye, all",2678
2012,New Brunswick,Soybeans,2300
2013,New Brunswick,Soybeans,2000
2014,New Brunswick,Soybeans,2300
2015,New Brunswick,Soybeans,2400
2016,New Brunswick,Soybeans,2400
2017,New Brunswick,Soybeans,1900
2018,New Brunswick,Soybeans,2804
2019,New Brunswick,Soybeans,2145
2020,New Brunswick,Soybeans,1816
2021,New Brunswick,Soybeans,2815
2022,New Brunswick,Soybeans,
2018,New Brunswick,Sugar beets,
2019,New Brunswick,Sugar beets,
2020,New Brunswick,Sugar beets,
2021,New Brunswick,Sugar beets,
2022,New Brunswick,Sugar beets,
2018,New Brunswick,Triticale,
2019,New Brunswick,Triticale,
2020,New Brunswick,Triticale,
2021,New Brunswick,Triticale,
2022,New Brunswick,Triticale,
2012,New Brunswick,"Wheat, all",3200
2013,New Brunswick,"Wheat, all",3300
2014,New Brunswick,"Wheat, all",2800
2015,New Brunswick,"Wheat, all",3500
2016,New Brunswick,"Wheat, all",3400
2017,New Brunswick,"Wheat, all",3700
2018,New Brunswick,"Wheat, all",3452
2019,New Brunswick,"Wheat, all",3755
2020,New Brunswick,"Wheat, all",2750
2021,New Brunswick,"Wheat, all",3885
2022,New Brunswick,"Wheat, all",3730
2018,New Brunswick,"Wheat, durum",
2019,New Brunswick,"Wheat, durum",
2020,New Brunswick,"Wheat, durum",
2021,New Brunswick,"Wheat, durum",
2022,New Brunswick,"Wheat, durum",
2012,New Brunswick,"Wheat, all excluding durum wheat",3200
2013,New Brunswick,"Wheat, all excluding durum wheat",3300
2014,New Brunswick,"Wheat, all excluding durum wheat",2800
2015,New Brunswick,"Wheat, all excluding durum wheat",3500
2016,New Brunswick,"Wheat, all excluding durum wheat",3400
2017,New Brunswick,"Wheat, all excluding durum wheat",3700
2018,New Brunswick,"Wheat, all excluding durum wheat",3412
2019,New Brunswick,"Wheat, all excluding durum wheat",3772
2020,New Brunswick,"Wheat, all excluding durum wheat",2731
2021,New Brunswick,"Wheat, all excluding durum wheat",3936
2022,New Brunswick,"Wheat, all excluding durum wheat",3674
2012,Quebec,Barley,3300
2013,Quebec,Barley,3100
2014,Quebec,Barley,3100
2015,Quebec,Barley,3400
2016,Quebec,Barley,3400
2017,Quebec,Barley,3300
2018,Quebec,Barley,2910
2019,Quebec,Barley,3240
2020,Quebec,Barley,2520
2021,Quebec,Barley,3592
2022,Quebec,Barley,3360
2012,Quebec,Canola (rapeseed),2000
2013,Quebec,Canola (rapeseed),2200
2014,Quebec,Canola (rapeseed),2100
2015,Quebec,Canola (rapeseed),2200
2016,Quebec,Canola (rapeseed),2400
2017,Quebec,Canola (rapeseed),2500
2018,Quebec,Canola (rapeseed),2456
2019,Quebec,Canola (rapeseed),2214
2020,Quebec,Canola (rapeseed),2166
2021,Quebec,Canola (rapeseed),2399
2022,Quebec,Canola (rapeseed),2336
2012,Quebec,Corn for grain,8900
2013,Quebec,Corn for grain,9100
2014,Quebec,Corn for grain,8600
2015,Quebec,Corn for grain,10200
2016,Quebec,Corn for grain,10400
2017,Quebec,Corn for grain,10000
2018,Quebec,Corn for grain,9441
2019,Quebec,Corn for grain,8875
2020,Quebec,Corn for grain,9085
2021,Quebec,Corn for grain,9575
2022,Quebec,Corn for grain,9935
2012,Quebec,Corn for silage,33520
2013,Quebec,Corn for silage,34110
2014,Quebec,Corn for silage,37710
2015,Quebec,Corn for silage,39250
2016,Quebec,Corn for silage,43830
2017,Quebec,Corn for silage,41930
2018,Quebec,Corn for silage,39829
2019,Quebec,Corn for silage,34021
2020,Quebec,Corn for silage,33738
2021,Quebec,Corn for silage,38611
2022,Quebec,Corn for silage,37392
2012,Quebec,"Peas, dry",
2013,Quebec,"Peas, dry",
2014,Quebec,"Peas, dry",
2015,Quebec,"Peas, dry",
2016,Quebec,"Peas, dry",
2017,Quebec,"Peas, dry",
2018,Quebec,"Peas, dry",2833
2019,Quebec,"Peas, dry",2100
2020,Quebec,"Peas, dry",2514
2021,Quebec,"Peas, dry",
2022,Quebec,"Peas, dry",2631
2012,Quebec,"Rye, all",
2013,Quebec,"Rye, all",
2014,Quebec,"Rye, all",2400
2015,Quebec,"Rye, all",2500
2016,Quebec,"Rye, all",3100
2017,Quebec,"Rye, all",2500
2018,Quebec,"Rye, all",2754
2019,Quebec,"Rye, all",2560
2020,Quebec,"Rye, all",2505
2021,Quebec,"Rye, all",3434
2022,Quebec,"Rye, all",3616
2012,Quebec,Soybeans,3000
2013,Quebec,Soybeans,2900
2014,Quebec,Soybeans,2500
2015,Quebec,Soybeans,3200
2016,Quebec,Soybeans,3200
2017,Quebec,Soybeans,2800
2018,Quebec,Soybeans,3151
2019,Quebec,Soybeans,3135
2020,Quebec,Soybeans,3253
2021,Quebec,Soybeans,3021
2022,Quebec,Soybeans,2941
2012,Quebec,Sugar beets,
2013,Quebec,Sugar beets,
2014,Quebec,Sugar beets,
2015,Quebec,Sugar beets,
2016,Quebec,Sugar beets,
2017,Quebec,Sugar beets,
2018,Quebec,Sugar beets,
2019,Quebec,Sugar beets,
2020,Quebec,Sugar beets,
2021,Quebec,Sugar beets,
2022,Quebec,Sugar beets,
2018,Quebec,Triticale,2719
2019,Quebec,Triticale,3010
2020,Quebec,Triticale,2277
2021,Quebec,Triticale,
2022,Quebec,Triticale,3239
2012,Quebec,"Wheat, all",3200
2013,Quebec,"Wheat, all",3100
2014,Quebec,"Wheat, all",3100
2015,Quebec,"Wheat, all",3500
2016,Quebec,"Wheat, all",3500
2017,Quebec,"Wheat, all",3200
2018,Quebec,"Wheat, all",3143
2019,Quebec,"Wheat, all",3408
2020,Quebec,"Wheat, all",2327
2021,Quebec,"Wheat, all",3634
2022,Quebec,"Wheat, all",3922
2018,Quebec,"Wheat, durum",
2019,Quebec,"Wheat, durum",
2020,Quebec,"Wheat, durum",
2021,Quebec,"Wheat, durum",
2022,Quebec,"Wheat, durum",
2012,Quebec,"Wheat, all excluding durum wheat",3200
2013,Quebec,"Wheat, all excluding durum wheat",3100
2014,Quebec,"Wheat, all excluding durum wheat",3100
2015,Quebec,"Wheat, all excluding durum wheat",3500
2016,Quebec,"Wheat, all excluding durum wheat",3500
2017,Quebec,"Wheat, all excluding durum wheat",3200
2018,Quebec,"Wheat, all excluding durum wheat",3146
2019,Quebec,"Wheat, all excluding durum wheat",3408
2020,Quebec,"Wheat, all excluding durum wheat",2326
2021,Quebec,"Wheat, all excluding durum wheat",3637
2022,Quebec,"Wheat, all excluding durum wheat",3932
2012,Ontario,Barley,3500
2013,Ontario,Barley,3000
2014,Ontario,Barley,3700
2015,Ontario,Barley,3600
2016,Ontario,Barley,3400
2017,Ontario,Barley,3300
2018,Ontario,Barley,3150
2019,Ontario,Barley,3390
2020,Ontario,Barley,3320
2021,Ontario,Barley,3565
2022,Ontario,Barley,4066
2012,Ontario,Canola (rapeseed),2000
2013,Ontario,Canola (rapeseed),2100
2014,Ontario,Canola (rapeseed),2400
2015,Ontario,Canola (rapeseed),2400
2016,Ontario,Canola (rapeseed),2300
2017,Ontario,Canola (rapeseed),2600
2018,Ontario,Canola (rapeseed),2641
2019,Ontario,Canola (rapeseed),2421
2020,Ontario,Canola (rapeseed),2574
2021,Ontario,Canola (rapeseed),2410
2022,Ontario,Canola (rapeseed),2850
2012,Ontario,Corn for grain,9600
2013,Ontario,Corn for grain,10100
2014,Ontario,Corn for grain,10100
2015,Ontario,Corn for grain,10600
2016,Ontario,Corn for grain,9800
2017,Ontario,Corn for grain,10500
2018,Ontario,Corn for grain,10416
